10	George Vetticaden	0.0	76.0	0.0	3400.0
11	Jamie Engesser	0.0	92.0	0.0	4500.0
12	Paul Coddin	0.0	60.0	0.0	2799.0
13	Joe Niemiec	10.0	60.0	100.0	2773.0
14	Adis Cesir	45.0	60.0	2512.0	2790.0
15	Rohit Bakshi	45.0	60.0	2502.0	2796.0
16	Tom McCuch	45.0	60.0	2506.0	2800.0
17	Eric Mizell	20.0	60.0	500.0	2790.0
18	Grant Liu	45.0	60.0	2501.0	2799.0
19	Ajay Singh	45.0	60.0	2500.0	2800.0
20	Chris Harris	0.0	60.0	0.0	2794.0
21	Jeff Markham	45.0	60.0	2503.0	2798.0
22	Nadeem Asghar	45.0	60.0	2500.0	2798.0
23	Adam Diaz	45.0	60.0	2503.0	2796.0
24	Don Hilborn	0.0	60.0	0.0	2793.0
25	Jean-Philippe Playe	45.0	60.0	2508.0	2800.0
26	Michael Aube	45.0	60.0	2502.0	2783.0
27	Mark Lochbihler	45.0	60.0	2500.0	2800.0
28	Olivier Renault	45.0	60.0	2501.0	2793.0
29	Teddy Choi	45.0	60.0	2514.0	2798.0
30	Dan Rice	45.0	60.0	2500.0	2799.0
31	Rommel Garcia	45.0	60.0	2502.0	2797.0
32	Ryan Templeton	45.0	60.0	2501.0	2791.0
33	Sridhara Sabbella	46.0	60.0	2514.0	2786.0
34	Frank Romano	45.0	60.0	2500.0	2800.0
35	Emil Siemes	45.0	60.0	2500.0	2798.0
36	Andrew Grande	45.0	60.0	2518.0	2799.0
37	Wes Floyd	45.0	59.0	2509.0	2797.0
38	Scott Shaw	45.0	60.0	2508.0	2791.0
39	David Kaiser	45.0	60.0	2504.0	2800.0
40	Nicolas Maillard	45.0	60.0	2501.0	2799.0
41	Greg Phillips	45.0	60.0	2536.0	2800.0
42	Randy Gelhausen	45.0	60.0	2520.0	2795.0
43	Dave Patton	46.0	60.0	2504.0	2796.0
